date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:34	2068/2068	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202017%2023:55:13%20GMT	http://motions.graphics/wp-content/plugins/js_composer/assets/css/vc-ie8.min.css	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/plugins/js_composer/assets/css/vc-ie8.min.css	(from http://motions.graphics/)
17:08:35	18028/18028	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.woff2	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.woff2	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:38	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.eot	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.eot	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:39	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.eot?	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regulard41d.eot	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:39	23424/23424	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.woff	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.woff	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:39	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.svg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.svg	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:40	394/394	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202017%2023:55:45%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/images/quote.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/images/quote.png	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:43	45404/45404	---M-Z	200	added ('OK')	application/font-sfnt	date:Tue,%2025%20Jul%202017%2023:55:45%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.ttf	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/glyphicons-halflings-regular.ttf	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:44	66624/66624	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202017%2023:55:45%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfont3295.html	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
17:08:53	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfont.eot?	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfontd41d.eot	(from http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css)
